subject,Username,Condition,1_code,1_notes,2_code,exclude?,2_notes,3_code,exclude?,3_notes,total score
1,AW0K78T4I2T72,DMT-with-tutorial,2,picked one deck for 90% of trials in phase 2,2,Y,large bias for green in phase 2,2,Y,bias for green in phase 2,6
2,5a399bc6,DMT-with-tutorial,0,-,0,N,,0,N,-,0
3,a33fae10,DMT-with-tutorial,0,-,0,N,,0,N,-,0
4,b9bde367,DMT-with-tutorial,0,-,0,N,,0,N,-,0
5,a0e224f7,DMT-with-tutorial,0,-,0,N,,0,N,-,0
6,622aa355,DMT-with-tutorial,0,-,0,N,,0,N,-,0
7,9bc05aa1,DMT-with-tutorial,0,-,0,N,,1,N,a couple low RTs,1
8,03381ba9,DMT-with-tutorial,1,Sigmoidial trend with RT,1,N,RT gradually increases into phase 2,0,N,-,2
9,a6277cee,DMT-with-tutorial,0,-,0,N,,0,N,-,0
10,ca26160d,DMT-with-tutorial,0,Lots of NR in Phase 1,1,N,"low response time, lots of NR",1,N,"1 low RT, many NRs",2
11,a5cbf67e,DMT-with-tutorial,1,Large bias against red in both phases + super low RTs,2,Y,low response time and NR on numerous trials,2,Y,many low RTs and NRs,5
12,9459877c,DMT-with-tutorial,1,Large bias against red in phase 2,1,N,avoided red in phase 2,0,N,-,2
13,6b8c6310,DMT-with-tutorial,0,-,0,N,,0,N,-,0
14,00ef812b,DMT-with-tutorial,1,super low RTs,2,Y,low response time on numerous trials,2,Y,many low RTs and NRs,5
15,ad05b45c,DMT-with-tutorial,2,Large bias towards blue in phase 2,2,Y,large bias for blue in phase 2,2,Y,bias for blue in phase 2,6
16,1d9e681c,DMT-with-tutorial,2,Large bias against red in phase 1,1,N,avoided red in phase 1,1,N,low red count in phase 1,4
17,b480ab06,DMT-with-tutorial,0,-,0,N,,0,N,-,0
18,60e71e4d,DMT-with-tutorial,1,Impossible RTs,2,Y,low response time on a lot of trials,2,Y,many low RTs,5
19,c90f0fb5,DMT-with-tutorial,0,-,1,N,low response time on numerous trials,1,N,many low RTs,2
20,670ea998,DMT-with-tutorial,1,Few weird RTs,1,N,low response time on numerous trials,0,N,-,2
21,bf3c62ec,DMT-with-tutorial,0,-,0,N,,0,N,-,0
22,3f7a1916,DMT-with-tutorial,2,Large bias against green in phase 2,2,Y,large bias against green in phase 2,1,N,low amt. of green in phase 2,5
